record_id,left,hit,right
row_150,"are heads, then there are as many                ",kinds,of love as there are hearts.
row_210,"what they are, but only their potential          ",likeness,"to ourselves, then we do not love"
row_809,"the birthdays, the busy season and lazy          ",weekends.,I want peanut butter fingertips on my
row_1046,"being, drunk with the great starry void,         ","likeness,","image of mystery, I felt myself a"
row_1435,for hurting you. I could inflict all             ,kinds,"of pain on myself, but it would"
row_1466,a cleverly inserted ellipsis can prevent all     ,kinds,of exclamations.
row_1584,are. I want you with ten different               ,kinds,of need at once. I love all
row_2226,"romantic love, but there are many other          ",kinds,"of love that are not adequately returned,"
row_2272,There are all                                    ,kinds,of ways for a relationship to be
row_2414,For there are two                                ,kinds,of forgiveness in the world: the one
row_2600,they're so poor and they make all                ,kinds,of mistakes and maybe sometimes they even
row_2701,Yesterday we obeyed                              ,kings,and bent our necks before emperors. But
row_2747,There's two                                      ,kinds,of women--those you write poems about and
row_2878,Power is of two                                  ,kinds.,One is obtained by the fear of
