record_id,left,hit,right
row_269,"the fourteenth year came Chedorlaomer, and the          ",kings,"that were with him, and smote the"
row_271,"Shinar, and Arioch king of Ellasar; four                ",kings,with five.
row_272,Siddim was full of slimepits; and the                   ,kings,"of Sodom and Gomorrah fled, and fell"
row_279,"the slaughter of Chedorlaomer, and of the               ",kings,"that were with him, at the valley"
row_320,"I will make nations of thee, and                        ",kings,shall come out of thee.
row_330,she shall be a mother of nations;                       ,kings,of people shall be of her.
row_832,"of nations shall be of thee, and                        ",kings,shall come out of thy loins; 35:12
row_871,And these are the                                       ,kings,"that reigned in the land of Edom,"
row_3686,And they slew the                                       ,kings,"of Midian, beside the rest of them"
row_3686,"and Zur, and Hur, and Reba, five                        ",kings,of Midian: Balaam also the son of
row_3919,out of the hand of the two                              ,kings,of the Amorites the land that was
row_3928,your God hath done unto these two                       ,kings:,so shall the LORD do unto all
row_3965,"land of Og king of Bashan, two                          ",kings,"of the Amorites, which were on this"
row_4025,And he shall deliver their                              ,kings,"into thine hand, and thou shalt destroy"
row_4443,"he did to Sihon and to Og,                              ",kings,"of the Amorites, and unto the land"
row_4560,and what ye did unto the two                            ,kings,"of the Amorites, that were on the"
row_4602,"it came to pass, when all the                           ",kings,"of the Amorites, which were on the"
row_4602,"side of Jordan westward, and all the                    ",kings,"of the Canaanites, which were by the"
row_4693,"it came to pass, when all the                           ",kings,"which were on this side Jordan, in"
row_4698,all that he did to the two                              ,kings,"of the Amorites, that were beyond Jordan,"
row_4716,Therefore the five                                      ,kings,"of the Amorites, the king of Jerusalem,"
row_4717,"us, and help us: for all the                            ",kings,of the Amorites that dwell in the
row_4727,But these five                                          ,kings,"fled, and hid themselves in a cave"
row_4728,"it was told Joshua, saying, The five                    ",kings,are found hid in a cave at
row_4732,"the cave, and bring out those five                      ",kings,unto me out of the cave.
row_4733,"did so, and brought forth those five                    ",kings,"unto him out of the cave, the"
row_4734,"to pass, when they brought out those                    ",kings,"unto Joshua, that Joshua called for all"
row_4734,your feet upon the necks of these                       ,kings.,"And they came near, and put their"
row_4745,"and of the springs, and all their                       ",kings:,"he left none remaining, but utterly destroyed"
row_4747,And all these                                           ,kings,and their land did Joshua take at
row_4749,"king of Achshaph, 11:2 And to the                       ",kings,that were on the north of the
row_4751,And when all these                                      ,kings,"were met together, they came and pitched"
row_4758,And all the cities of those                             ,"kings,","and all the kings of them, did"
row_4758,"cities of those kings, and all the                      ",kings,"of them, did Joshua take, and smote"
row_4762,Lebanon under mount Hermon: and all their               ,kings,"he took, and smote them, and slew"
row_4763,war a long time with all those                          ,kings.,
row_4769,Now these are the                                       ,kings,"of the land, which the children of"
row_4772,And these are the                                       ,kings,of the country which Joshua and the
row_4773,"The king of Tirzah, one: all the                        ",kings,thirty and one.
row_4974,"out from before you, even the two                       ",kings,of the Amorites; but not with thy
row_4999,"And Adonibezek said, Threescore and ten                 ","kings,",having their thumbs and their great toes
row_5095,"Hear, O ye                                              ",kings;,"give ear, O ye princes; I, even"
row_5110,The                                                     ,kings,"came and fought, then fought the kings"
row_5110,"kings came and fought, then fought the                  ",kings,of Canaan in Taanach by the waters
row_5180,"I am pursuing after Zebah and Zalmunna,                 ",kings,of Midian.
row_5187,"pursued after them, and took the two                    ",kings,"of Midian, Zebah and Zalmunna, and discomfited"
row_5198,and purple raiment that was on the                      ,kings,"of Midian, and beside the chains that"
row_5902,"Ammon, and against Edom, and against the                ",kings,"of Zobah, and against the Philistines: and"
row_6238,that day: wherefore Ziklag pertaineth unto the          ,kings,of Judah unto this day.
row_6499,And when all the                                        ,kings,that were servants to Hadarezer saw that
row_6500,"year was expired, at the time when                      ",kings,"go forth to battle, that David sent"
row_6980,there shall not be any among the                        ,kings,like unto thee all thy days.
row_7007,"Tiphsah even to Azzah, over all the                     ",kings,on this side the river: and he
row_7017,"hear the wisdom of Solomon, from all                    ",kings,"of the earth, which had heard of"
row_7193,"the spice merchants, and of all the                     ",kings,"of Arabia, and of the governors of"
row_7201,So king Solomon exceeded all the                        ,kings,of the earth for riches and for
row_7207,and fifty: and so for all the                           ,kings,"of the Hittites, and for the kings"
row_7207,"kings of the Hittites, and for the                      ",kings,"of Syria, did they bring them out"
row_7309,the book of the chronicles of the                       ,kings,of Israel.
row_7318,the book of the chronicles of the                       ,kings,of Judah?
row_7326,the book of the chronicles of the                       ,kings,of Judah? And there was war between
row_7341,the book of the chronicles of the                       ,kings,of Judah? Nevertheless in the time of
row_7348,the book of the chronicles of the                       ,kings,of Israel?
row_7354,the book of the chronicles of the                       ,kings,of Israel? 16:6 So Baasha slept with
row_7362,the book of the chronicles of the                       ,kings,of Israel?
row_7368,the book of the chronicles of the                       ,kings,of Israel? 16:21 Then were the people
row_7374,the book of the chronicles of the                       ,kings,of Israel? 16:28 So Omri slept with
row_7379,of Israel to anger than all the                         ,kings,of Israel that were before him.
row_7455,together: and there were thirty and two                 ,kings,"with him, and horses, and chariots; and"
row_7464,"as he was drinking, he and the                          ",kings,"in the pavilions, that he said unto"
row_7468,"drunk in the pavilions, he and the                      ","kings,",the thirty and two kings that helped
row_7468,"and the kings, the thirty and two                       ",kings,that helped him.
row_7476,"And do this thing, Take the                             ",kings,"away, every man out of his place,"
row_7482,"Behold now, we have heard that the                      ",kings,of the house of Israel are merciful
row_7482,of the house of Israel are merciful                     ,kings:,"let us, I pray thee, put sackcloth"
row_7553,the book of the chronicles of the                       ,kings,of Israel?
row_7559,the book of the chronicles of the                       ,kings,of Judah? 22:46 And the remnant of
row_7580,the book of the chronicles of the                       ,kings,of Israel? 2:1 And it came to
row_7612,that the LORD hath called these three                   ,kings,"together, to deliver them into the hand"
row_7615,for the LORD hath called these three                    ,kings,"together, to deliver them into the hand"
row_7623,when all the Moabites heard that the                    ,kings,"were come up to fight against them,"
row_7624,"And they said, This is blood: the                       ",kings,"are surely slain, and they have smitten"
row_7725,of Israel hath hired against us the                     ,kings,"of the Hittites, and the kings of"
row_7725,"the kings of the Hittites, and the                      ",kings,"of the Egyptians, to come upon us."
row_7754,he walked in the way of the                             ,kings,"of Israel, as did the house of"
row_7759,the book of the chronicles of the                       ,kings,of Judah? 8:24 And Joram slept with
row_7795,"were exceedingly afraid, and said, Behold, two          ",kings,stood not before him: how then shall
row_7821,the book of the chronicles of the                       ,kings,of Israel? 10:35 And Jehu slept with
row_7840,he sat on the throne of the                             ,kings.,
row_7858,"Jehoshaphat, and Jehoram, and Ahaziah, his fathers,     ",kings,"of Judah, had dedicated, and his own"
row_7859,the book of the chronicles of the                       ,kings,of Judah?
row_7868,the book of the chronicles of the                       ,kings,of Israel? 13:9 And Jehoahaz slept with
row_7871,the book of the chronicles of the                       ,kings,of Israel? 13:13 And Joash slept with
row_7871,Joash was buried in Samaria with the                    ,kings,of Israel.
row_7898,the book of the chronicles of the                       ,kings,of Israel? 14:16 And Jehoash slept with
row_7898,and was buried in Samaria with the                      ,kings,of Israel; and Jeroboam his son reigned
row_7900,the book of the chronicles of the                       ,kings,of Judah? 14:19 Now they made a
row_7909,the book of the chronicles of the                       ,kings,of Israel? 14:29 And Jeroboam slept with
row_7909,"slept with his fathers, even with the                   ",kings,of Israel; and Zachariah his son reigned
row_7914,the book of the chronicles of the                       ,kings,of Judah?
row_7919,the book of the chronicles of the                       ,kings,of Israel.
row_7923,the book of the chronicles of the                       ,kings,of Israel.
row_7929,the book of the chronicles of the                       ,kings,of Israel?
row_7934,the book of the chronicles of the                       ,kings,of Israel.
row_7939,the book of the chronicles of the                       ,kings,of Israel.
row_7944,the book of the chronicles of the                       ,kings,of Judah?
row_7949,he walked in the way of the                             ,kings,"of Israel, yea, and made his son"
row_7965,the book of the chronicles of the                       ,kings,of Judah? 16:20 And Ahaz slept with
row_7967,"of the LORD, but not as the                             ",kings,of Israel that were before him.
row_7972,"the children of Israel, and of the                      ",kings,"of Israel, which they had made."
row_8004,was none like him among all the                         ,kings,"of Judah, nor any that were before"
row_8034,"Behold, thou hast heard what the                        ",kings,"of Assyria have done to all lands,"
row_8038,"Of a truth, LORD, the                                   ",kings,of Assyria have destroyed the nations and
row_8072,the book of the chronicles of the                       ,kings,of Judah? 20:21 And Hezekiah slept with
