record_id,left,hit,right
row_56,heard the voice of the LORD God                              ,walking,in the garden in the cool of
row_194,And the beginning of his                                     ,kingdom,"was Babel, and Erech, and Accad, and"
row_266,to pass in the days of Amraphel                              ,king,"of Shinar, Arioch king of Ellasar, Chedorlaomer"
row_266,"days of Amraphel king of Shinar, Arioch                      ",king,"of Ellasar, Chedorlaomer king of Elam, and"
row_266,"of Shinar, Arioch king of Ellasar, Chedorlaomer              ",king,"of Elam, and Tidal king of nations;"
row_266,"Ellasar, Chedorlaomer king of Elam, and Tidal                ",king,of nations; 14:2 That these made war
row_266,14:2 That these made war with Bera                           ,king,"of Sodom, and with Birsha king of"
row_266,"Bera king of Sodom, and with Birsha                          ",king,"of Gomorrah, Shinab king of Admah, and"
row_266,"and with Birsha king of Gomorrah, Shinab                     ",king,"of Admah, and Shemeber king of Zeboiim,"
row_266,"Gomorrah, Shinab king of Admah, and Shemeber                 ",king,"of Zeboiim, and the king of Bela,"
row_266,"and Shemeber king of Zeboiim, and the                        ",king,"of Bela, which is Zoar."
row_269,"the fourteenth year came Chedorlaomer, and the               ",kings,"that were with him, and smote the"
row_271,And there went out the                                       ,king,"of Sodom, and the king of Gomorrah,"
row_271,"out the king of Sodom, and the                               ",king,"of Gomorrah, and the king of Admah,"
row_271,"and the king of Gomorrah, and the                            ",king,"of Admah, and the king of Zeboiim,"
row_271,"and the king of Admah, and the                               ",king,"of Zeboiim, and the king of Bela"
row_271,"and the king of Zeboiim, and the                             ",king,of Bela (the same is Zoar;) and
row_271,vale of Siddim; 14:9 With Chedorlaomer the                   ,king,"of Elam, and with Tidal king of"
row_271,"the king of Elam, and with Tidal                             ",king,"of nations, and Amraphel king of Shinar,"
row_271,"with Tidal king of nations, and Amraphel                     ",king,"of Shinar, and Arioch king of Ellasar;"
row_271,"and Amraphel king of Shinar, and Arioch                      ",king,of Ellasar; four kings with five.
row_271,"Shinar, and Arioch king of Ellasar; four                     ",kings,with five.
row_272,Siddim was full of slimepits; and the                        ,kings,"of Sodom and Gomorrah fled, and fell"
row_279,And the                                                      ,king,of Sodom went out to meet him
row_279,"the slaughter of Chedorlaomer, and of the                    ",kings,"that were with him, at the valley"
row_279,"the valley of Shaveh, which is the                           ",king’s,dale.
row_280,And Melchizedek                                              ,king,of Salem brought forth bread and wine:
row_282,And the                                                      ,king,"of Sodom said unto Abram, Give me"
row_283,And Abram said to the                                        ,king,"of Sodom, I have lift up mine"
row_299,"down, and it was dark, behold a                              ",smoking,"furnace, and a burning lamp that passed"
row_320,"I will make nations of thee, and                             ",kings,shall come out of thee.
row_330,she shall be a mother of nations;                            ,kings,of people shall be of her.
row_334,And he left off                                              ,talking,"with him, and God went up from"
row_391,"wife, She is my sister: and Abimelech                        ",king,"of Gerar sent, and took Sarah."
row_397,hast brought on me and on my                                 ,kingdom,a great sin? thou hast done deeds
row_414,"Egyptian, which she had born unto Abraham,                   ",mocking.,
row_480,"came to pass, before he had done                             ","speaking,","that, behold, Rebekah came out, who was"
row_484,"thy camels also, until they have done                        ",drinking.,
row_487,"to pass, as the camels had done                              ","drinking,",that the man took a golden earring
row_505,And before I had done                                        ,speaking,"in mine heart, behold, Rebekah came forth"
row_554,of Abraham. And Isaac went unto Abimelech                    ,king,of the Philistines unto Gerar.
row_557,"been there a long time, that Abimelech                       ",king,of the Philistines looked out at a
row_766,wrestled a man with him until the                            ,breaking,of the day.
row_832,"of nations shall be of thee, and                             ",kings,shall come out of thy loins; 35:12
row_871,And these are the                                            ,kings,"that reigned in the land of Edom,"
row_871,"land of Edom, before there reigned any                       ",king,over the children of Israel.
row_952,"into the prison, a place where the                           ",king’s,prisoners were bound: and he was there
row_956,"these things, that the butler of the                         ",king,of Egypt and his baker had offended
row_956,his baker had offended their lord the                        ,king,of Egypt.
row_960,the butler and the baker of the                              ,king,"of Egypt, which were bound in the"
row_1003,years old when he stood before Pharaoh                       ,king,of Egypt. And Joseph went out from
row_1247,Now there arose up a new                                     ,king,"over Egypt, which knew not Joseph."
row_1252,And the                                                      ,king,"of Egypt spake to the Hebrew midwives,"
row_1253,"feared God, and did not as the                               ",king,"of Egypt commanded them, but saved the"
row_1254,And the                                                      ,king,"of Egypt called for the midwives, and"
row_1277,"pass in process of time, that the                            ",king,of Egypt died: and the children of
row_1294,"and the elders of Israel, unto the                           ",king,"of Egypt, and ye shall say unto"
row_1295,And I am sure that the                                       ,king,"of Egypt will not let you go,"
row_1329,And the                                                      ,king,"of Egypt said unto them, Wherefore do"
row_1338,have ye not fulfilled your task in                           ,making,"brick both yesterday and to day, as"
row_1352,"saying, 6:11 Go in, speak unto Pharaoh                       ",king,"of Egypt, that he let the children"
