record_id,left,hit,right
01-three-men-in-a-boat.txt,"BRISTOL J. W. ARROWSMITH, 11 QUAY STREET                ",LONDON,"SIMPKIN, MARSHALL, HAMILTON, KENT & CO. LIMITED"
01-three-men-in-a-boat.txt,to the lesson that the story teaches_.                  ,"LONDON,","_August_, 1889. [Picture: Graphic of three men"
01-three-men-in-a-boat.txt,health. He took a return berth from                     ,London,to Liverpool; and when he got to
01-three-men-in-a-boat.txt,always determine—when thinking over the matter in       ,London—that,"I’ll get up early every morning, and"
01-three-men-in-a-boat.txt,to take them back with me to                            ,"London,",as he should not be coming up
01-three-men-in-a-boat.txt,with general depression over the Midland Counties       ,(London,and Channel). Bar. falling.” I do think
01-three-men-in-a-boat.txt,Thus we got to Kingston by the                          ,London,"and South-Western Railway. We learnt, afterwards, that"
01-three-men-in-a-boat.txt,of any attractions within ten miles of                  ,London,that she does not seem to have
01-three-men-in-a-boat.txt,would become famous. “Only house in South               ,London,that Harris never had a drink in!”
01-three-men-in-a-boat.txt,I know of near this dull old                            ,London,town. The river affords a good opportunity
01-three-men-in-a-boat.txt,and Abingdon are the only towns between                 ,London,and Oxford that you can really see
01-three-men-in-a-boat.txt,"nailing tiers of seats, while ’prentices from           ",London,town are there with many-coloured stuffs and
01-three-men-in-a-boat.txt,forth those demons of the river—steam-launches. The     ,_London,Journal_ duke always has his “little place”
01-three-men-in-a-boat.txt,"to, when matters were becoming unpleasant in            ",London.,Parliament generally rushed off to Reading whenever
01-three-men-in-a-boat.txt,mere ordinary plague now and then in                    ,London,to get rid of both the lawyers
